,GUID,Inicio,Segmento,Tiempo Medio Interacción,Tiempo primer contacto Agente,palabras_totales,dominancia,Fin
46,0001QaFD86W27C8J,2020-07-02 22:40:26,Chat - Afiliaciones,279.0,1839.0,44,agente,2020-07-02 23:17:48
47,0001QaFD86W27CC5,2020-07-02 22:51:48,Chat - Salud,64.57894736842105,219.0,369,agente,2020-07-02 23:34:31
48,0001QaFD86W27CM5,2020-07-02 23:19:18,Chat - Afiliaciones,47.615384615384606,2.0,320,agente,2020-07-02 23:40:07
49,0001QaFD86W27CMQ,2020-07-02 23:21:09,Chat - Salud,114.0,677.0,215,cliente,2020-07-02 23:50:43
50,0001QaFD86W27CVW,2020-07-02 23:51:08,Chat - Afiliaciones,91.0,3.0,27,agente,2020-07-02 23:58:17
51,0001QaFD86W27DY7,2020-07-03 13:10:35,Chat - Salud,35.470588235294116,44.0,180,agente,2020-07-03 13:20:48
52,0001QaFD86W27E58,2020-07-03 13:23:50,Chat - Afiliaciones,145.8,134.0,91,agente,2020-07-03 13:36:07
53,0001QaFD86W27EBG,2020-07-03 13:38:44,Chat - Afiliaciones,47.53846153846154,39.0,175,agente,2020-07-03 13:49:09
54,0001QaFD86W27ERP,2020-07-03 14:04:01,Chat - Afiliaciones,188.0,40.0,337,agente,2020-07-03 14:28:43
55,0001QaFD86W27ET8,2020-07-03 14:08:08,Chat - Afiliaciones,170.25,854.0,31,agente,2020-07-03 14:31:01
56,0001QaFD86W27ETF,2020-07-03 14:08:43,Chat - Salud,53.16666666666666,123.0,262,agente,2020-07-03 14:35:28
57,0001QaFD86W27FCS,2020-07-03 14:44:40,Chat - Salud,35.142857142857146,228.0,240,agente,2020-07-03 14:56:14
58,0001QaFD86W27FDF,2020-07-03 14:47:10,Chat - Salud,88.33333333333331,4.0,38,agente,2020-07-03 14:53:58
59,0001QaFD86W27FF1,2020-07-03 14:50:16,Chat - Salud,39.625,55.0,82,agente,2020-07-03 14:59:39
60,0001QaFD86W27FJR,2020-07-03 14:58:23,Chat - Salud,29.777777777777786,147.0,241,agente,2020-07-03 15:15:04
61,0001QaFD86W27FQB,2020-07-03 15:07:21,Chat - Salud,29.375,65.0,79,agente,2020-07-03 15:11:43
62,0001QaFD86W27GCE,2020-07-03 15:50:45,Chat - Afiliaciones,647.1666666666666,63.0,117,agente,2020-07-03 16:56:13
63,0001QaFD86W27GSX,2020-07-03 16:14:09,Chat - Salud,16.666666666666668,3.0,69,agente,2020-07-03 16:18:29
64,0001QaFD86W27HKQ,2020-07-03 17:00:46,Chat - Salud,37.81818181818182,135.0,131,agente,2020-07-03 17:09:15
65,0001QaFD86W27K6G,2020-07-03 18:50:14,Chat - Salud,27.82608695652174,3.0,205,agente,2020-07-03 19:01:33
66,0001QaFD86W27KAV,2020-07-03 19:03:18,Chat - Afiliaciones,138.875,4.0,238,agente,2020-07-03 19:41:14
67,0001QaFD86W27KM5,2020-07-03 19:28:14,Chat - Salud,32.888888888888886,3.0,172,agente,2020-07-03 19:38:15
68,0001QaFD86W27MQ5,2020-07-03 21:03:59,Chat - Afiliaciones,295.25,1861.0,45,agente,2020-07-03 21:43:34
69,0001QaFD86W27MT0,2020-07-03 21:12:05,Chat - Afiliaciones,146.93333333333334,17.0,106,agente,2020-07-03 21:49:21
70,0001QaFD86W27N3B,2020-07-03 21:32:06,Chat - Afiliaciones,389.4,4.0,41,agente,2020-07-03 22:04:44
71,0001QaFD86W27NMB,2020-07-03 22:14:07,Chat - Salud,74.6,244.0,198,agente,2020-07-03 22:34:33
72,0001QaFD86W27NQX,2020-07-03 22:24:11,Chat - Salud,40.578947368421055,104.0,188,agente,2020-07-03 22:37:10
73,0001QaFD86W27P08,2020-07-03 22:47:45,Chat - Salud,78.0,431.0,87,agente,2020-07-03 22:58:47
74,0001QaFD86W27P4M,2020-07-03 23:01:53,Chat - Salud,58.33333333333334,244.0,76,agente,2020-07-03 23:10:49
75,0001QaFD86W27PDB,2020-07-03 23:38:35,Chat - Afiliaciones,107.0,284.0,42,agente,2020-07-03 23:51:16
76,0001QaFD86W27PEE,2020-07-03 23:42:33,Chat - Salud,33.2,92.0,145,agente,2020-07-03 23:54:17
77,0001QaFD86W27PR8,2020-07-04 01:45:56,Chat - Afiliaciones,17.923076923076927,3.0,277,agente,2020-07-04 01:50:04
78,0001QaFD86W27QJG,2020-07-04 13:39:25,Chat - Afiliaciones,51.58823529411765,298.0,319,agente,2020-07-04 13:54:15
79,0001QaFD86W27QNY,2020-07-04 13:54:22,Chat - Afiliaciones,31.66666666666667,20.0,33,agente,2020-07-04 13:57:45
80,0001QaFD86W27QSG,2020-07-04 14:04:21,Chat - Afiliaciones,77.22222222222223,4.0,316,agente,2020-07-04 14:16:39
81,0001QaFD86W27QVY,2020-07-04 14:16:10,Chat - Afiliaciones,19.666666666666668,,28,cliente,2020-07-04 14:29:06
82,0001QaFD86W27QXJ,2020-07-04 14:23:51,Chat - Afiliaciones,109.33333333333331,33.0,307,agente,2020-07-04 14:35:27
83,0001QaFD86W27R94,2020-07-04 14:55:35,Chat - Salud,33.714285714285715,99.0,82,agente,2020-07-04 15:02:51
84,0001QaFD86W27RAK,2020-07-04 14:59:11,Chat - Salud,23.18518518518519,4.0,213,agente,2020-07-04 15:10:33
85,0001QaFD86W27RCX,2020-07-04 15:07:45,Chat - Afiliaciones,25.0,4.0,326,agente,2020-07-04 15:14:33
86,0001QaFD86W27RG1,2020-07-04 15:15:53,Chat - Salud,19.65,4.0,162,agente,2020-07-04 15:23:15
87,0001QaFD86W27RY8,2020-07-04 15:56:29,Chat - Salud,18.777777777777786,4.0,119,agente,2020-07-04 15:59:34
88,0001QaFD86W27S9M,2020-07-04 16:33:58,Chat - Afiliaciones,63.5,153.0,308,agente,2020-07-04 16:50:32
89,0001QaFD86W27SGY,2020-07-04 16:52:53,Chat - Salud,46.828571428571436,79.0,445,agente,2020-07-04 17:20:20
90,0001QaFD86W27SP1,2020-07-04 17:20:02,Chat - Salud,60.368421052631575,37.0,171,agente,2020-07-04 17:39:22
91,0001QaFD86W27T4N,2020-07-04 18:22:12,Chat - Salud,29.9,3.0,601,agente,2020-07-04 18:47:45
92,0001QaFD86W27TKJ,2020-07-04 19:49:37,Chat - Salud,20.166666666666668,4.0,56,agente,2020-07-04 19:51:48
93,0001QaFD86W27TRV,2020-07-04 20:15:26,Chat - Afiliaciones,24.25,2.0,191,agente,2020-07-04 20:22:02
94,0001QaFD86W27TXD,2020-07-04 20:51:46,Chat - Afiliaciones,31.66666666666667,12.0,185,agente,2020-07-04 20:56:41
95,0001QaFD86W27U2H,2020-07-04 21:25:04,Chat - Salud,17.454545454545453,4.0,308,agente,2020-07-04 21:28:47
96,0001QaFD86W27U74,2020-07-04 22:09:04,Chat - Salud,31.5,2.0,163,agente,2020-07-04 22:16:06
97,0001QaFD86W27UBU,2020-07-04 22:36:11,Chat - Salud,17.0,4.0,184,agente,2020-07-04 22:42:56
98,0001QaFD86W27UCC,2020-07-04 22:39:29,Chat - Afiliaciones,25.384615384615394,2.0,323,agente,2020-07-04 22:45:11
99,0001QaFD86W27UE6,2020-07-04 22:50:52,Chat - Afiliaciones,39.16666666666666,4.0,110,agente,2020-07-04 22:59:03
100,0001QaFD86W27UFM,2020-07-04 23:04:40,Chat - Salud,23.13333333333333,4.0,497,agente,2020-07-04 23:17:00
101,0001QaFD86W27UQ3,2020-07-04 23:43:00,Chat - Afiliaciones,22.41666666666667,2.0,142,agente,2020-07-04 23:47:36
102,0001QaFD86W27USN,2020-07-05 00:28:16,Chat - Afiliaciones,29.25,4.0,142,agente,2020-07-05 00:34:17
103,0001QaFD86W27WD4,2020-07-06 13:00:13,Chat - Afiliaciones,54.611111111111114,11.0,242,agente,2020-07-06 13:17:22
104,0001QaFD86W27WK4,2020-07-06 13:11:34,Chat - Salud,40.9,127.0,98,agente,2020-07-06 13:20:19
105,0001QaFD86W27WKR,2020-07-06 13:13:25,Chat - Salud,49.384615384615394,179.0,100,agente,2020-07-06 13:25:04
106,0001QaFD86W27WUP,2020-07-06 13:30:55,Chat - Salud,79.625,41.0,79,agente,2020-07-06 13:41:58
107,0001QaFD86W27X3W,2020-07-06 13:48:11,Chat - Salud,85.77777777777777,64.0,354,agente,2020-07-06 14:03:10
108,0001QaFD86W27XA5,2020-07-06 14:02:33,Chat - Afiliaciones,159.6,127.0,306,agente,2020-07-06 14:16:42
109,0001QaFD86W27XFS,2020-07-06 14:14:07,Chat - Afiliaciones,190.625,3.0,268,cliente,2020-07-06 14:40:45
110,0001QaFD86W27XM3,2020-07-06 14:21:26,Chat - Salud,102.0,56.0,50,agente,2020-07-06 14:34:38
111,0001QaFD86W27XRF,2020-07-06 14:29:03,Chat - Salud,84.77777777777777,399.0,51,agente,2020-07-06 14:42:41
112,0001QaFD86W27XRS,2020-07-06 14:29:49,Chat - Afiliaciones,239.57142857142856,64.0,337,agente,2020-07-06 14:57:54
113,0001QaFD86W27XU0,2020-07-06 14:32:55,Chat - Salud,127.0,178.0,68,agente,2020-07-06 14:48:06
114,0001QaFD86W27Y1M,2020-07-06 14:44:11,Chat - Afiliaciones,237.0,3.0,31,agente,2020-07-06 15:04:09
115,0001QaFD86W27Y6E,2020-07-06 14:52:25,Chat - Afiliaciones,166.2,2.0,31,agente,2020-07-06 15:07:11
116,0001QaFD86W27Y9D,2020-07-06 14:57:27,Chat - Salud,58.214285714285715,3.0,132,agente,2020-07-06 15:11:24
117,0001QaFD86W27YG3,2020-07-06 15:08:05,Chat - Afiliaciones,168.66666666666666,112.0,60,cliente,2020-07-06 15:30:57
118,0001QaFD86W27YGJ,2020-07-06 15:09:00,Chat - Afiliaciones,390.83333333333326,57.0,182,agente,2020-07-06 15:48:16
119,0001QaFD86W27YRR,2020-07-06 15:20:25,Chat - Salud,0.0,,2,cliente,2020-07-06 15:25:14
120,0001QaFD86W27YWV,2020-07-06 15:26:56,Chat - Salud,51.214285714285715,70.0,121,agente,2020-07-06 15:40:27
121,0001QaFD86W280KY,2020-07-06 15:55:57,Chat - Salud,87.66666666666669,57.0,69,agente,2020-07-06 16:07:08
122,0001QaFD86W2812J,2020-07-06 16:13:49,Chat - Salud,33.476190476190474,3.0,440,agente,2020-07-06 16:27:51
123,0001QaFD86W281B8,2020-07-06 16:26:13,Chat - Afiliaciones,831.8333333333335,1456.0,113,agente,2020-07-06 17:53:07
124,0001QaFD86W281GQ,2020-07-06 16:32:17,Chat - Salud,53.0,104.0,185,agente,2020-07-06 16:47:38
125,0001QaFD86W2821B,2020-07-06 16:52:24,Chat - Salud,48.1304347826087,116.0,210,agente,2020-07-06 17:11:10
126,0001QaFD86W282E5,2020-07-06 17:15:41,Chat - Afiliaciones,422.88888888888886,942.0,74,agente,2020-07-06 18:19:13
127,0001QaFD86W282UD,2020-07-06 17:33:03,Chat - Salud,20.272727272727273,66.0,195,agente,2020-07-06 17:44:42
128,0001QaFD86W2835G,2020-07-06 17:46:36,Chat - Salud,20.83333333333333,2.0,255,agente,2020-07-06 17:55:33
129,0001QaFD86W283AD,2020-07-06 17:50:21,Chat - Afiliaciones,224.64705882352942,288.0,153,cliente,2020-07-06 18:54:13
130,0001QaFD86W283G6,2020-07-06 17:57:46,Chat - Salud,37.16666666666666,150.0,91,agente,2020-07-06 18:05:41
131,0001QaFD86W283GQ,2020-07-06 17:58:18,Chat - Afiliaciones,722.2,3.0,41,agente,2020-07-06 18:58:44
132,0001QaFD86W283NX,2020-07-06 18:03:14,Chat - Afiliaciones,697.2,4.0,41,agente,2020-07-06 19:01:31
133,0001QaFD86W283PS,2020-07-06 18:04:24,Chat - Afiliaciones,600.6666666666666,17.0,41,agente,2020-07-06 19:04:39
134,0001QaFD86W2846D,2020-07-06 18:24:49,Chat - Salud,21.5,3.0,228,agente,2020-07-06 18:32:12
135,0001QaFD86W284BN,2020-07-06 18:31:53,Chat - Salud,40.647058823529406,3.0,685,cliente,2020-07-06 19:06:58
136,0001QaFD86W286BW,2020-07-06 20:09:41,Chat - Afiliaciones,484.0,4.0,41,agente,2020-07-06 20:50:09
137,0001QaFD86W286E1,2020-07-06 20:13:37,Chat - Salud,12.333333333333336,2.0,120,agente,2020-07-06 20:16:27
138,0001QaFD86W28703,2020-07-06 20:43:12,Chat - Afiliaciones,420.0,1338.0,44,agente,2020-07-06 21:32:36
139,0001QaFD86W2872H,2020-07-06 20:46:57,Chat - Salud,33.888888888888886,51.0,95,agente,2020-07-06 20:53:31
140,0001QaFD86W28783,2020-07-06 20:57:43,Chat - Salud,48.05555555555557,37.0,146,agente,2020-07-06 21:12:19
141,0001QaFD86W2878Q,2020-07-06 20:58:31,Chat - Salud,85.2,41.0,67,agente,2020-07-06 21:07:48
142,0001QaFD86W287HQ,2020-07-06 21:14:52,Chat - Salud,41.964285714285715,3.0,283,agente,2020-07-06 21:36:27
143,0001QaFD86W288G0,2020-07-06 22:18:00,Chat - Salud,71.91666666666667,472.0,113,agente,2020-07-06 22:42:25
144,0001QaFD86W288J6,2020-07-06 22:24:05,Chat - Salud,102.57142857142857,201.0,85,cliente,2020-07-06 22:38:31
145,0001QaFD86W288TJ,2020-07-06 22:42:25,Chat - Afiliaciones,245.25,261.0,83,agente,2020-07-06 23:16:24
146,0001QaFD86W28953,2020-07-06 23:09:04,Chat - Afiliaciones,253.8,3.0,41,agente,2020-07-06 23:30:24
147,0001QaFD86W2899X,2020-07-06 23:20:55,Chat - Afiliaciones,129.5,12.0,82,agente,2020-07-06 23:38:46
148,0001QaFD86W289CB,2020-07-06 23:28:12,Chat - Afiliaciones,127.71428571428572,66.0,46,agente,2020-07-06 23:43:21
149,0001QaFD86W28A64,2020-07-07 01:46:55,Chat - Afiliaciones,41.058823529411775,329.0,394,agente,2020-07-07 01:58:44
150,0001QaFD86W28A9D,2020-07-07 11:05:08,Chat - Salud,21.9375,3.0,352,agente,2020-07-07 11:13:48
151,0001QaFD86W28ADS,2020-07-07 11:40:41,Chat - Salud,19.571428571428573,3.0,146,agente,2020-07-07 11:45:29
152,0001QaFD86W28AM6,2020-07-07 12:12:41,Chat - Salud,32.888888888888886,150.0,109,agente,2020-07-07 12:17:58
153,0001QaFD86W28AP6,2020-07-07 12:19:21,Chat - Afiliaciones,32.89473684210526,12.0,437,agente,2020-07-07 12:31:22
154,0001QaFD86W28APR,2020-07-07 12:20:46,Chat - Afiliaciones,157.0,4.0,21,agente,2020-07-07 12:32:51
155,0001QaFD86W28AYC,2020-07-07 12:42:46,Chat - Afiliaciones,162.16666666666666,475.0,36,agente,2020-07-07 13:02:25
156,0001QaFD86W28BND,2020-07-07 13:33:48,Chat - Salud,47.2,42.0,104,agente,2020-07-07 13:47:00
157,0001QaFD86W28BSW,2020-07-07 13:39:45,Chat - Salud,53.153846153846146,47.0,201,agente,2020-07-07 13:53:32
158,0001QaFD86W28BW5,2020-07-07 13:46:46,Chat - Afiliaciones,232.42857142857144,410.0,69,cliente,2020-07-07 14:15:53
159,0001QaFD86W28C63,2020-07-07 14:05:14,Chat - Afiliaciones,714.6,3.0,35,agente,2020-07-07 15:08:57
160,0001QaFD86W28C7J,2020-07-07 14:07:14,Chat - Afiliaciones,431.25,190.0,166,cliente,2020-07-07 15:05:04
161,0001QaFD86W28CAJ,2020-07-07 14:12:37,Chat - Salud,193.66666666666663,4.0,39,agente,2020-07-07 14:36:15
162,0001QaFD86W28CS0,2020-07-07 14:37:47,Chat - Salud,21.0,,20,cliente,2020-07-07 14:50:46
163,0001QaFD86W28D8P,2020-07-07 15:06:50,Chat - Salud,74.44444444444444,287.0,73,agente,2020-07-07 15:19:56
164,0001QaFD86W28DJH,2020-07-07 15:20:50,Chat - Salud,17.066666666666666,57.0,268,agente,2020-07-07 15:30:34
165,0001QaFD86W28DRY,2020-07-07 15:31:00,Chat - Afiliaciones,548.5714285714286,3553.0,36,agente,2020-07-07 16:35:17
166,0001QaFD86W28DST,2020-07-07 15:32:18,Chat - Salud,41.875,3.0,151,agente,2020-07-07 15:46:12
167,0001QaFD86W28E5E,2020-07-07 15:45:33,Chat - Afiliaciones,862.8,4.0,35,agente,2020-07-07 17:00:15
168,0001QaFD86W28G5P,2020-07-07 17:09:27,Chat - Afiliaciones,1022.4,4.0,41,agente,2020-07-07 18:34:53
169,0001QaFD86W28GM9,2020-07-07 17:29:15,Chat - Salud,14.411764705882351,6.0,126,agente,2020-07-07 17:34:35
170,0001QaFD86W28H0X,2020-07-07 17:55:34,Chat - Afiliaciones,299.46666666666664,4240.0,112,cliente,2020-07-07 19:10:38
171,0001QaFD86W28HF1,2020-07-07 18:24:47,Chat - Afiliaciones,394.375,2619.0,47,agente,2020-07-07 19:17:31
172,0001QaFD86W28JSH,2020-07-07 19:47:11,Chat - Afiliaciones,494.4285714285714,3331.0,42,agente,2020-07-07 20:45:01
173,0001QaFD86W28JUH,2020-07-07 19:53:20,Chat - Salud,15.166666666666664,3.0,60,agente,2020-07-07 19:55:16
174,0001QaFD86W28N4N,2020-07-07 22:26:15,Chat - Afiliaciones,284.0,888.0,415,agente,2020-07-07 23:28:02
175,0001QaFD86W28NV1,2020-07-07 23:33:14,Chat - Salud,58.91666666666666,63.0,107,agente,2020-07-07 23:45:12
176,0001QaFD86W28NVF,2020-07-07 23:34:03,Chat - Afiliaciones,245.7142857142857,32.0,70,agente,2020-07-08 00:03:10
177,0001QaFD86W28P6P,2020-07-08 00:03:33,Chat - Afiliaciones,58.9375,3.0,297,agente,2020-07-08 00:19:53
178,0001QaFD86W28P8K,2020-07-08 00:21:15,Chat - Afiliaciones,118.4,2.0,42,agente,2020-07-08 00:31:50
179,0001QaFD86W28PEN,2020-07-08 01:05:19,Chat - Afiliaciones,92.0,4.0,22,agente,2020-07-08 01:10:48
180,0001QaFD86W28Q2V,2020-07-08 12:16:04,Chat - Salud,25.615384615384606,13.0,104,agente,2020-07-08 12:22:08
181,0001QaFD86W28Q3K,2020-07-08 12:17:22,Chat - Afiliaciones,69.2,5.0,31,agente,2020-07-08 12:23:24
182,0001QaFD86W28QA9,2020-07-08 12:32:34,Chat - Afiliaciones,31.6,4.0,31,agente,2020-07-08 12:35:24
183,0001QaFD86W28QBC,2020-07-08 12:36:09,Chat - Afiliaciones,29.36585365853659,3.0,639,agente,2020-07-08 13:02:22
184,0001QaFD86W28QUA,2020-07-08 13:22:06,Chat - Afiliaciones,58.0625,1014.0,462,agente,2020-07-08 13:53:58
185,0001QaFD86W28RE2,2020-07-08 13:57:11,Chat - Salud,19.09090909090909,46.0,454,agente,2020-07-08 14:08:37
186,0001QaFD86W28RU3,2020-07-08 14:19:19,Chat - Afiliaciones,607.8,2.0,31,agente,2020-07-08 15:10:44
187,0001QaFD86W28SGQ,2020-07-08 14:56:32,Chat - Salud,70.1111111111111,62.0,45,agente,2020-07-08 15:12:16
188,0001QaFD86W28SVH,2020-07-08 15:17:12,Chat - Afiliaciones,711.6,3.0,31,agente,2020-07-08 16:18:17
189,0001QaFD86W28U6Y,2020-07-08 16:19:39,Chat - Afiliaciones,462.09090909090907,4790.0,447,agente,2020-07-08 17:46:36
190,0001QaFD86W28V2M,2020-07-08 17:03:22,Chat - Salud,35.0,4.0,79,agente,2020-07-08 17:07:23
191,0001QaFD86W28VCD,2020-07-08 17:19:44,Chat - Salud,18.41176470588235,3.0,327,agente,2020-07-08 17:25:06
192,0001QaFD86W28VXS,2020-07-08 17:50:41,Chat - Salud,16.8,4.0,455,agente,2020-07-08 17:56:04
193,0001QaFD86W28XFY,2020-07-08 19:29:11,Chat - Afiliaciones,298.0,144.0,43,agente,2020-07-08 19:59:11
194,0001QaFD86W28XHQ,2020-07-08 19:32:09,Chat - Afiliaciones,293.1666666666667,1003.0,41,agente,2020-07-08 20:02:28
195,0001QaFD86W28XMV,2020-07-08 19:36:42,Chat - Salud,9.25,2.0,125,agente,2020-07-08 19:38:49
196,0001QaFD86W28XP7,2020-07-08 19:39:45,Chat - Afiliaciones,172.23076923076923,2.0,189,agente,2020-07-08 20:17:11
197,0001QaFD86W28YXQ,2020-07-08 20:59:08,Chat - Salud,36.07692307692308,4.0,114,agente,2020-07-08 21:07:11
198,0001QaFD86W290K4,2020-07-08 21:36:00,Chat - Salud,42.45454545454545,152.0,92,agente,2020-07-08 21:51:39
199,0001QaFD86W290RF,2020-07-08 21:46:21,Chat - Afiliaciones,775.3333333333335,3.0,22,agente,2020-07-08 22:27:27
200,0001QaFD86W2918T,2020-07-08 22:30:40,Chat - Afiliaciones,304.1666666666667,335.0,44,agente,2020-07-08 23:01:19
201,0001QaFD86W291HJ,2020-07-08 22:55:20,Chat - Salud,43.125,193.0,168,agente,2020-07-08 23:12:43
202,0001QaFD86W2925B,2020-07-09 00:09:40,Chat - Afiliaciones,67.38461538461539,4.0,225,agente,2020-07-09 00:24:30
203,0001QaFD86W2929M,2020-07-09 01:06:50,Chat - Afiliaciones,68.75,2.0,27,agente,2020-07-09 01:12:31
204,0001QaFD86W292JV,2020-07-09 11:23:44,Chat - Salud,14.375,4.0,296,agente,2020-07-09 11:26:05
205,0001QaFD86W293QD,2020-07-09 13:37:49,Chat - Afiliaciones,216.8,3.0,31,agente,2020-07-09 13:56:23
206,0001QaFD86W2946J,2020-07-09 14:19:21,Chat - Salud,11.090909090909092,3.0,430,agente,2020-07-09 14:23:47
207,0001QaFD86W294H7,2020-07-09 14:45:26,Chat - Afiliaciones,271.8,3.0,31,agente,2020-07-09 15:08:20
208,0001QaFD86W294JD,2020-07-09 14:47:23,Chat - Salud,44.72727272727273,80.0,112,agente,2020-07-09 15:03:21
